"sym edge: Wing Normalised Coordiantes in wing coordiantes[X] (m)","sym edge: Pressure Coefficient"
4.017760109985692,-1.7918971354317856
4.017884122739032,-0.934067470874684
4.0182018122184,-0.19801306200542432
4.018838401311285,0.4299921594222672
4.019643413449708,0.781834640447547
4.020593526762391,0.9614873058183899
4.021792146334263,1.0427409299008006
4.0262844777304325,1.0348642342606464
4.026442477371326,1.0324244845883523
4.0245940639206355,1.057336372395418
4.023043828401323,1.0643770657775355
4.028008885456879,1.0086738877108516
4.029387091439971,0.9873454298370543
4.029902099541696,0.978677259559241
4.032943941081798,0.9374955738296163
4.033308376184685,0.9331712605519591
4.03565213278818,0.9068985272212388
4.036333556924508,0.900274724957257
4.039211824470199,0.8760505749362971
4.042826524333615,0.8511493629165852
4.039262360938734,0.8756609834440142
4.0473330478695395,0.8283497474697886
4.051430371638485,0.8127361814863462
4.055706401354656,0.7994904075801146
4.060258061171757,0.7883354988366322
4.064969920606799,0.7786592369208447
4.070064993077676,0.7703603039642076
4.075397237643114,0.7630630001866969
4.08148693763442,0.7562505291188775
4.087858863428416,0.7493629769154666
4.09420247515532,0.7427042857412036
4.109234090222729,0.728865810250135
4.101931388018025,0.7353842399950061
4.11921373128366,0.7220316073564205
4.1274706813293225,0.7152222980918819
4.161865945978627,0.6944437413889765
4.169755270793498,0.6914955587457057
4.135731624626296,0.7094910728869026
4.144500154355331,0.7041520900798252
4.155679572645636,0.6986844706317732
4.0197460705083525,-2.5244308945508944
4.020920206352682,-2.4242271645762825
4.0181631379709675,-2.593827233831261
4.018794926931673,-2.5900540017093068
4.033707797354103,-1.544712765728293
4.036385603980902,-1.3844973432018977
4.039846058653025,-1.2258429786205176
4.036863003918407,-1.359403690799708
4.039902664525549,-1.2236115943229031
4.043373903578725,-1.1186944365438245
4.033578772434202,-1.5525865901949287
4.022468275632274,-2.282536359650493
4.030252993845725,-1.7535425189863094
4.029675058389881,-1.7869200947854196
4.028122219213415,-1.8741322715145552
4.0264241119103445,-1.9641896879791299
4.026155875111646,-1.9799231302876275
4.024284593870672,-2.120305699416348
4.055522307447301,-0.9827671806436484
