"top  sym edge: Position in wing coordiantes[X] (m)","top  sym edge: Wall Shear Stress in wing coordiantes[i] (Pa)"
6.865636171182358E-6,-0.06265788499063976
1.6064247329793613E-5,7.989123109483179
4.716843469871926E-5,10.615904128235396
1.1034733076937183E-4,12.025805597730134
2.0546168843736255E-4,9.449817115412218
3.228752728702136E-4,4.887784757905417
4.776822008294631E-4,2.025921825532583
6.593140246692156E-4,0.8279289089720048
8.464421487666623E-4,0.5242658577880348
8.732658286364878E-4,0.48593022676832626
0.0010430765589435603,0.19850007823180404
0.0011983604765901928,0.016360641515594954
0.0012561540221746091,0.011569875524725444
0.0015887318810222436,0.6062859331718464
0.0016016343730123142,0.6412578723423906
0.001869415035692204,1.5486913423516768
0.001917155029442717,1.7156107347881417
0.0022154605029045165,2.7027465393959105
0.0022211210901568286,2.7211493681391654
0.002568244995474486,3.61402927965206
0.0029435287897015125,4.219170247416549
0.0033570830371084173,4.586281395822589
0.0037830853823321163,4.7746226022500435
0.004210333059863401,4.836856909950167
0.0046956053553120864,4.805084103442253
0.005226738904335754,4.761912304319932
0.005810966204242677,4.733394114968447
0.006387318422243229,4.64903489070819
0.007178876717689447,4.518911397812549
0.007836824921845485,4.3272050674290075
0.00865910836430339,4.101575805958526
0.009406159939805257,3.8880205032080974
0.010300090550946585,3.6244802273771857
0.011107862591555075,3.3273038731846603
0.01190902754112513,3.0438613733302358
0.012743149305078038,2.8115344874724606
0.013809112533608217,2.5302395849742334
0.014423389743682456,2.2044422916729647
0.015206381716951859,1.920019643410928
0.01520638171695186,1.920019643410928
0.015695958496898088,1.7416821880335625
0.01629900331882581,1.6424264363616299
0.017028810845612447,1.5678240466889164
0.01713737896564095,1.5564253337570455
0.01841044279857538,1.5348779530007388
0.020439801183499154,1.5226102219466928
0.022058467598134,1.4954996995174001
0.02372310150434967,1.49392031405509
0.025406959253659815,1.5123712038940598
0.027128373444440874,1.5837985172890718
0.028852461790839636,1.7559398129425348
0.03068050512428611,1.8052294976685899
0.032530076590343765,1.8924239838517116
0.03514625732989184,2.146102056763358
0.037288615753352294,2.374080720221552
0.039462257404029824,2.6309872379759818
0.04172047813268472,2.8882450250973832
0.044031286829572566,3.096996285695658
0.04644882396612225,3.1741325599618184
0.04644882396612225,3.1741325599618184
0.04894308477011213,3.158734618201061
0.0514317824896683,3.105233283084997
0.05398797235708864,3.038050489932146
0.0566882636012924,2.968979800427303
0.060029060866169916,2.858627524829416
0.06274893780741235,2.7254309773351943
0.0659226280532052,2.572987186005295
0.0659226280532052,2.5729871860052955
0.0683217993214425,2.391458755559019
0.0706068332126887,2.192714126574904
0.0728711768455995,1.9935076579900506
0.07505166920954365,1.8217815860048232
0.07714917242786615,1.6948624527921812
0.0791102481789219,1.6184728499437644
0.08088080464133958,1.5739535201659147
0.0828130465500069,1.5299168231658813
0.084296031499834,1.4910846855045394
0.08565505386683549,1.484654305831309
0.08690700220108773,1.5135871658601339
0.08808303913374944,1.5744541603962872
0.08910415596156075,1.6673431542485098
0.09000000000000034,1.7419339257846052
0.09000000000000036,1.7419339257846052
0.09054557908027454,1.7430412400260673
0.09111891469354483,1.6859288042758784
0.09188085536832057,1.5602835880508001
0.09249529941206006,1.3860160481812167
0.0930983645338468,1.2124319825398424
0.09371073100213573,1.0442702073085244
0.09442745180487655,0.8985076730389202
0.09496297457113217,0.7704818689910552
0.09553099169794027,0.4888251205732529
0.09599590626176657,0.2575139685437816
0.09643676638941062,0.11065955319685286
0.09684875804032107,-0.032970196091703374
0.09721523754243504,-0.15652300849171955
0.09723534640029426,-0.16282824686246639
0.09752782277368928,-0.24551978128048416
0.0975812332692717,-0.2587658990960075
0.09794026542342013,-0.33214952355495286
0.0979879910958189,-0.33938671231393513
0.09820917341443314,-0.3607699430833117
0.09824925947683791,-0.362893836245046
0.09854836831365153,-0.3732769177964063
0.09864906998985347,-0.37578582599411325
0.09871644622363995,-0.37732180177730157
0.09893682144649851,-0.38202362380990107
0.09913369958556928,-0.37288090519982064
0.09930343107836634,-0.315328308188891
0.09943085315729507,-0.27615022734999084
0.09958035915403453,-0.2874421080678733
0.09972624817692627,-0.35332900037778087
0.09984432718012451,-0.4152769850265259
0.0998705106949491,-0.3809215928941488
0.0999400699617648,-0.27003075267406434
0.09996358483824039,-0.11766531953529216
0.09998179241912022,0.0011139303921087387
0.10000000000000009,-0.05124794203446141
