"Time","CD Monitor: CD Monitor"
0.08,0.6615151777638779
0.16,0.6244586843405447
0.24,0.6094061955543882
0.32,0.5913080453210974
0.4,0.5815610195687456
0.48000000000000004,0.5821471858769501
0.56,0.5911786262045139
0.64,0.6047452038475846
0.72,0.6179449728538529
0.7999999999999999,0.6257607349424019
0.8799999999999999,0.6249062358694237
0.9599999999999999,0.6153499486072351
1.0399999999999998,0.600047083484632
1.1199999999999999,0.5852261588361848
1.2,0.5766697444246955
1.28,0.577225709586977
1.36,0.5864411681239562
1.4400000000000002,0.6012317056491197
1.5200000000000002,0.6156769561039206
1.6000000000000003,0.6243481354089555
1.6800000000000004,0.6240852087647355
1.7600000000000005,0.6147991047826374
1.8400000000000005,0.599695979172146
1.9200000000000006,0.5851064291202953
2.0000000000000004,0.5768244668955769
2.0800000000000005,0.5775495889632186
2.1600000000000006,0.586750578794254
2.2400000000000007,0.6013707131110428
2.3200000000000007,0.6158435754208955
2.400000000000001,0.6244455890648424
2.480000000000001,0.6242137081298872
2.560000000000001,0.6150033819052917
2.640000000000001,0.5999219029500799
2.720000000000001,0.5853273592894408
2.800000000000001,0.5769587079342009
2.8800000000000012,0.5775877281217401
2.9600000000000013,0.5867559463310283
3.0400000000000014,0.6013732221069523
3.1200000000000014,0.6158389232946548
3.2000000000000015,0.6244989288991949
3.2800000000000016,0.6242955036027577
3.3600000000000017,0.6151343375071375
3.4400000000000017,0.6000887081349784
3.520000000000002,0.5854443044575783
3.600000000000002,0.5770262768018984
3.680000000000002,0.5776086901172797
3.760000000000002,0.586721165222801
3.840000000000002,0.601339979254585
3.920000000000002,0.6158201967903453
4.000000000000002,0.6245200023762133
4.080000000000002,0.6243866280369719
4.160000000000002,0.6151849387599139
4.240000000000002,0.6001526239434312
4.320000000000002,0.5855265186312236
4.400000000000002,0.5770732153398711
4.480000000000002,0.5775964159009737
4.560000000000002,0.5866926498276441
4.640000000000002,0.6012997674060023
4.720000000000002,0.6158015478157675
4.8000000000000025,0.6245267434900087
4.880000000000003,0.6243908398255783
4.960000000000003,0.6152534316527101
5.040000000000003,0.6002250153872775
