"sym edge: Wing Normalised Coordiantes in wing coordiantes[X] (m)","sym edge: Pressure Coefficient"
4.161865945978627,0.7401862036771842
4.169755270793498,0.736701813572383
4.155679572645636,0.7450088005333574
4.0262844777304325,1.0633461092781928
4.026442477371326,1.0616222710612575
4.029387091439971,1.026321011594506
4.028008885456879,1.0438973054849177
4.0245940639206355,1.075936831313204
4.023043828401323,1.0683335085424037
4.021792146334263,1.027223022688742
4.144500154355331,0.7512671037317034
4.135731624626296,0.7573485265401061
4.1274706813293225,0.7636128751186481
4.060258061171757,0.8396072108305929
4.064969920606799,0.8298882335022724
4.020593526762391,0.9154386616558186
4.029902099541696,1.018885124937452
4.032943941081798,0.9822545596124859
4.03565213278818,0.9542498326600617
4.033308376184685,0.9783647249079936
4.055706401354656,0.8506552467240018
4.11921373128366,0.7707771748870009
4.070064993077676,0.8214207599600505
4.0196434134497085,0.691294044572935
4.036333556924508,0.9480627848231769
4.039211824470199,0.9250703222410246
4.051430371638485,0.8635163739008186
4.109234090222729,0.7780023300106895
4.101931388018025,0.7848123616834396
4.09420247515532,0.7924013881878698
4.075397237643114,0.8138330287155467
4.08148693763442,0.806674582544155
4.087858863428416,0.7994244490776526
4.018838401311285,0.28024418994250966
4.0182018122184,-0.42344604700377486
4.042826524333615,0.9010357357852942
4.039262360938734,0.9246981459928477
4.0473330478695395,0.8787280049119437
4.017884122739031,-1.2300396137486183
4.017760109985692,-2.1542311375604255
4.017852096097278,-2.860881778740647
4.017760109985692,-2.154231137560425
4.0181631379709675,-2.909183554830955
4.018794926931673,-2.857798290916371
4.0197460705083525,-2.7693539201223722
4.020920206352682,-2.654781152300466
4.022468275632274,-2.4962059487173316
4.024284593870672,-2.3257020654449447
4.026155875111646,-2.1804752731605883
4.0264241119103445,-2.1635265725578416
4.028122219213415,-2.064292307697377
4.029675058389881,-1.9615923723725122
4.030252993845725,-1.9217918380515384
4.033578772434202,-1.6707691470052428
4.033707797354103,-1.6608165973105808
4.036385603980902,-1.4618681701406855
4.036863003918407,-1.431655170908618
4.039846058653025,-1.2794739177173244
4.039902664525549,-1.277047692401569
4.043373903578725,-1.171179331041007
4.055522307447301,-1.0537141270217307
4.051262283995064,-1.0757428261986315
4.047126741520995,-1.1116977333444844
4.059794784222614,-1.0391896233778508
4.0646475071771,-1.025052425757949
4.069958842667337,-1.008564628371837
4.0758011156664065,-0.9961329801791903
4.081564637846412,-0.9844193355286115
4.0894802208008745,-0.9692229798386591
4.096059702842434,-0.9561619689456747
4.104282537267013,-0.9415703768862469
4.111753053022031,-0.9338409078175867
4.120692359133445,-0.9301003446551627
4.12877007953953,-0.9217646704502057
4.155782578960062,-0.8756454883029556
4.14512294667476,-0.8942242786223809
4.1367817290352304,-0.9094617705025712
4.161925351060804,-0.8608877990214635
4.169755270793498,-0.8502343432912691
