"Time","CL Monitor: CL Monitor"
0.08,1.1619988165609514
0.16,1.100237892079647
0.24,1.071276235469701
0.32,1.0378132260631596
0.4,1.022030120408342
0.48000000000000004,1.0256945179136263
0.56,1.0440836894119858
0.64,1.070032577741228
0.72,1.0941133699011896
0.7999999999999999,1.1069403555090491
0.8799999999999999,1.1029842922689528
0.9599999999999999,1.082990954037358
1.0399999999999998,1.0536214516661457
1.1199999999999999,1.0273210198114995
1.2,1.0145119793242212
1.28,1.019217708847786
1.36,1.0391558273404973
1.4400000000000002,1.0675176245084228
1.5200000000000002,1.092900222572819
1.6000000000000003,1.1058328787054699
1.6800000000000004,1.1017974219721933
1.7600000000000005,1.0818324024095713
1.8400000000000005,1.0530618265199982
1.9200000000000006,1.0277922728154825
2.0000000000000004,1.0157111814408097
2.0800000000000005,1.0204248449903803
2.1600000000000006,1.0398753140987504
2.2400000000000007,1.0676442042627428
2.3200000000000007,1.0929432845921092
2.400000000000001,1.105859143245243
2.480000000000001,1.101988780252729
2.560000000000001,1.0823274290886047
2.640000000000001,1.0536494078721237
2.720000000000001,1.028250598219095
2.800000000000001,1.0159285206772235
2.8800000000000012,1.020513938965938
2.9600000000000013,1.039872918283494
3.0400000000000014,1.0676750878893482
3.1200000000000014,1.0930204047522072
3.2000000000000015,1.1060387315981997
3.2800000000000016,1.102216297511594
3.3600000000000017,1.0825892443604646
3.4400000000000017,1.053926565675382
3.520000000000002,1.0284417497505922
3.600000000000002,1.0160317397607947
3.680000000000002,1.0205101616965364
3.760000000000002,1.0398350280766466
3.840000000000002,1.0676478754532015
3.920000000000002,1.0930084462559815
4.000000000000002,1.1061058341967391
4.080000000000002,1.1023354241127377
4.160000000000002,1.0827403803672553
4.240000000000002,1.054094130384879
4.320000000000002,1.0285846083535333
4.400000000000002,1.0161039528368427
4.480000000000002,1.0205079522638647
4.560000000000002,1.0397796479951869
4.640000000000002,1.067568186347672
4.720000000000002,1.092980581001091
4.8000000000000025,1.1061076424372056
4.880000000000003,1.1024352172015524
4.960000000000003,1.082840421859476
5.040000000000003,1.0542221228761037
