"sym edge: Wing Normalised Coordiantes in wing coordiantes[X] (m)","sym edge: Pressure Coefficient"
4.0182018122184,-0.18706390001564194
4.018838401311285,0.41937454532193824
4.019643413449708,0.7573253241722938
4.020593526762391,0.9284962945018149
4.017760109985692,-1.7305549458061433
4.017884122739032,-0.9001290367797381
4.021792146334263,1.0048160157760555
4.0262844777304325,0.9923475107324091
4.026442477371326,0.9898829315662777
4.0245940639206355,1.0154074692615012
4.023043828401323,1.0238281898722459
4.029387091439971,0.9448667710643761
4.028008885456879,0.9660521132210105
4.029902099541696,0.9362680602072992
4.032943941081798,0.8955130587023006
4.03565213278818,0.8653286695664728
4.033308376184685,0.8912434108691526
4.042826524333615,0.810547575525707
4.039262360938734,0.834604891015224
4.036333556924508,0.8588036824687941
4.039211824470199,0.8349878253208755
4.060258061171757,0.7490807784935651
4.055706401354656,0.7599486439777896
4.064969920606799,0.7396774289022329
4.051430371638485,0.7729188361551159
4.0473330478695395,0.7882069511711478
4.070064993077676,0.731643742439216
4.075397237643114,0.724609959112241
4.08148693763442,0.7180750467262027
4.087858863428416,0.7114769163756702
4.09420247515532,0.7051132624982304
4.101931388018025,0.6980743538272078
4.109234090222729,0.6918646109993711
4.11921373128366,0.6854086106766217
4.1274706813293225,0.6789559633010049
4.135731624626296,0.6735859720119647
4.144500154355331,0.6686381839433113
4.155679572645636,0.6636028410155613
4.161865945978627,0.6597230774477616
4.169755270793498,0.6570649775656888
4.017852096097278,-2.393748545484835
4.017760109985692,-1.7305549458061436
4.0181631379709675,-2.5210002076317655
4.0197460705083525,-2.4643214559220037
4.018794926931673,-2.524354583505555
4.020920206352682,-2.368627045305754
4.022468275632274,-2.230532448300998
4.024284593870672,-2.0732787498378507
4.026155875111646,-1.9375160618802563
4.0264241119103445,-1.9223733816057655
4.028122219213415,-1.8359381478743448
4.029675058389881,-1.7530779542758417
4.030252993845725,-1.7214311934563107
4.039846058653025,-1.223192992515542
4.036863003918407,-1.3508892974822473
4.033578772434202,-1.532661917322309
4.033707797354103,-1.5252860283080623
4.036385603980902,-1.374622287122712
4.039902664525549,-1.221040954481641
4.043373903578725,-1.1184144342135145
4.047126741520995,-1.0523437089675454
4.051262283995064,-1.0090022587046823
4.055522307447301,-0.9820238661543601
4.059794784222614,-0.9652961694206144
4.0758011156664065,-0.9240134970317995
4.081564637846412,-0.9136502159693765
4.0646475071771,-0.9508356373433815
4.069958842667337,-0.9352120666033665
4.0894802208008745,-0.8998967031947636
4.096059702842434,-0.887687339990392
4.104282537267013,-0.873577272954515
4.111753053022031,-0.8654276133163588
4.1367817290352304,-0.8426262206080743
4.1451229466747606,-0.8291945971905148
4.120692359133445,-0.8613072098330925
4.12877007953953,-0.8536931629003695
4.155782578960062,-0.8129515810241194
4.161925351060804,-0.8001725308059828
4.169755270793498,-0.7910443126925595
5.017522383910302,-0.07748358240292437
5.017691453623979,-0.07512844825625138
5.017116304735921,-0.08080595011545055
5.016531062375019,-0.08284961915494927
5.013724241993033,-0.08891952587709784
5.013353967257364,-0.08988447858470645
5.011838747417073,-0.09513242924783726
5.015570288348605,-0.08418847679498974
5.014318807665787,-0.08733338244982967
5.01651264896922,-0.082881020688837
5.008142854201691,-0.11066394053191173
5.0070625703511435,-0.11585632950766522
5.008470849596835,-0.10915995637687563
5.0103050396642,-0.10166887667187481
5.004377371217652,-0.12685927478537623
5.003778983486399,-0.1292258964369931
5.002087322635756,-0.135678066930275
4.999677500682723,-0.1429976247490583
5.000810382181356,-0.13981543895224233
4.9979876385558395,-0.14691617512411845
4.997018392784097,-0.14877125992877094
4.995455272290037,-0.15151683256854087
4.992996719966937,-0.1551804391082262
4.99279682245801,-0.15543907124361914
4.989253649104741,-0.15627016108397335
4.983868075460109,-0.15277094746792075
4.979782336344175,-0.14821477895457774
4.975391239233165,-0.14281265564366785
4.971064398155294,-0.13492964214365238
4.9659167610573265,-0.12260991254606497
4.960374777975719,-0.10892336134006593
4.954374701044728,-0.09348975859342289
4.947600470446094,-0.07443962670970017
4.940665168704206,-0.052792411864950095
4.933737907018632,-0.02753493680911808
4.926788521180015,-0.0021173421849263623
4.922547478328325,0.01755144452724102
4.917691453623983,0.03597803135611069
4.923147244426724,-0.3431721552723804
4.917691453623982,-0.3363195074422925
4.936500007307185,-0.3521993173633142
4.94264444774458,-0.35067223707362044
4.9288806005594274,-0.34838986819837514
4.948675098962447,-0.34244759640160805
4.954798763645336,-0.32852848321311945
4.961965971672744,-0.30647060470536214
4.9673211993353,-0.28824897918908454
4.9820591175180855,-0.21853610508706647
4.98617903402719,-0.19588989286130856
4.989843829048329,-0.17594235285976512
4.99004491762692,-0.17483710631838578
4.992969681360872,-0.1589891282772628
4.993503786316696,-0.15617745390662185
4.997094107858181,-0.13920869055654717
4.977650516241646,-0.2423712927451379
4.973001370603382,-0.2682825144070088
4.997571364582168,-0.13696694121567818
4.99978318776831,-0.12735645553253797
5.000184048392358,-0.1257764474297733
5.004182153522514,-0.11227940987461252
5.003175136760495,-0.11555640344900364
5.004855915860379,-0.11026361886334202
5.007059668088964,-0.10485581944641117
5.009028449479671,-0.10026453573347349
5.010725764407642,-0.09696771779531023
5.01199998519693,-0.0954540630546708
5.0134950451643245,-0.0944675706002874
5.014953935393241,-0.09317795700817769
5.016134725425224,-0.08764836586948314
5.01639656057347,-0.0853042634011601
5.017092153241627,-0.08029814879785345
5.017327302006382,-0.07618014403343365
5.017691453623979,-0.07512844825625137
5.017509377815181,-0.07400603048788501
4.169755270793498,0.6570649775656888
4.17462631539769,0.655831099906635
4.181745052857969,0.6514170091025605
4.232350592005885,0.6304944542720344
4.217863414358071,0.6375196247075323
4.203566499273073,0.6403122612617813
4.182710097322903,0.6508467005184566
4.190709112519239,0.6453009317754443
4.646541648089026,0.40997676529969773
4.620463401737877,0.4295248100520305
4.594241770444745,0.4470899128960107
4.5680728901156025,0.4648144258122687
4.53636116658945,0.48294152080252534
4.510246715706929,0.4984674363131067
4.4858234127151535,0.5120487936613458
4.462006293276937,0.5247492586828425
4.439084326824214,0.5365833308662846
4.417277340032347,0.5477044852703269
4.39576643898098,0.5584615746786467
4.3753253946379855,0.5694161598347275
4.348423942198329,0.5779019505789988
4.312116945749218,0.595860246924915
4.33005637169573,0.5849636290026197
4.29493392992497,0.6060124429647055
4.232350592005885,0.6304944542720344
4.254750788064888,0.6222797287637678
4.271479473686416,0.6142946707634795
4.91046403423396,0.0569782231667511
4.917691453623984,0.0359780313561107
4.903195530578632,0.08396916771015152
4.890807560657935,0.11630495540839819
4.877408466916584,0.14835341817927897
4.861393979344515,0.17855024140297054
4.846083194228551,0.20623882207443003
4.8283064965746965,0.2325699144606281
4.809951125570028,0.2580451084521637
4.787434391709359,0.28248721687983946
4.7676691051627555,0.30515981658812386
4.746189400284174,0.32688164613307463
4.723416056520779,0.3480603103491244
4.700457495511864,0.3682592938551231
4.676585840079323,0.38857089615720314
4.646541648089025,0.4099767652996977
4.174651038592961,-0.7853456384205759
4.169755270793498,-0.7910443126925595
4.1806814868122375,-0.7767827092047963
4.189065243280389,-0.7684548853844425
4.187979562080104,-0.769673876332134
4.201795881609733,-0.7478370625068727
4.222089465458971,-0.7190551458782398
4.557571177194866,-0.5386340813198712
4.584574089636902,-0.5168611393999122
4.532009278520662,-0.5604801875200328
4.507122301325101,-0.5855942259436981
4.482179693285202,-0.6139355597521645
4.458004321919706,-0.6431072103670272
4.434896234950827,-0.6683741306910382
4.412314027664277,-0.6843075122920816
4.390577611157503,-0.6821773831569651
4.222089465458971,-0.7190551458782398
4.238276129605319,-0.6956217841177224
4.369154026922898,-0.6694034693301394
4.254922468667477,-0.6779316968798258
4.271761046160578,-0.663832043211219
4.342992219527416,-0.6827849334737505
4.324496504866842,-0.6746533505910427
4.306216071532376,-0.6484687183708947
4.288975188068389,-0.6533141283832342
4.917691453623982,-0.3363195074422925
4.908733013239587,-0.3296385725263176
4.898521844961474,-0.3266483240696206
4.886761475634857,-0.3253007895615692
4.617982062285678,-0.4923454839544338
4.584574089636903,-0.5168611393999122
4.645180831698102,-0.4695498011796444
4.6769177341560315,-0.4465797723211142
4.700909446838404,-0.42606370491236123
4.723759785750866,-0.4091755674673846
4.874241992292334,-0.32451577592783987
4.746403222079974,-0.3924050954760077
