"x/c = 0.8: Wing Normalised Coordiantes in wing coordiantes[Z] (m)","x/c = 0.8: Pressure Coefficient"
0.31830774972608883,0.3350664330765413
0.31501246838509783,0.3320887363027036
0.3280685083269888,0.3372996779574825
0.33671204806672345,0.3384950548512427
0.3444173946342704,0.3368192739181947
0.35155812794842745,0.33108623112430097
0.3588690133810708,0.3186300644866582
0.3633735122312054,0.3065249606850572
0.3703857990291364,0.27314471186075356
0.3771689186599495,0.2100629947749844
0.38380504367226664,0.10655877233512602
0.38859755519644984,-0.04679645169184428
0.39300682709795026,-0.24372672110953092
0.39623297449472117,-0.44427895381579796
0.3989409328492523,-0.5830579071847433
0.4001645687630244,-0.7345928050106519
0.3990499146052181,-0.8020752725962397
0.4001645687630244,-0.7345928050106519
0.3960250256303121,-0.7105625528329119
0.3908868659122463,-0.677911590491845
0.3914601784625958,-0.6800677599449925
0.3933497887268913,-0.6868739578885552
0.38549497912794944,-0.6608178391861044
0.39269119072350195,-0.6847647741000281
0.3929692689289103,-0.6857174886581013
0.39310862297541227,-0.6857640534168367
0.3804004376336255,-0.6559636963016057
0.37458174213110784,-0.6566278854822344
0.3746616286914456,-0.6565829282546405
0.3307000706881569,-0.6919230528544932
0.32860700494998857,-0.6938259173628674
0.33324708274842607,-0.68965681944203
0.34310444569511805,-0.6835342649062549
0.36680536142831255,-0.6646380360375874
0.3703928956688609,-0.6607813731107651
0.3509488326296511,-0.6787040937701005
0.35115128059141426,-0.678579735653228
0.3649910623636668,-0.6665562920069357
0.3590218711356717,-0.6724624973200035
0.35847411937885154,-0.6729369004539411
0.32082645332432147,-0.7037872887088124
0.3150883366383884,-0.7073350274036824
1.0421976243457041E-16,0.265711361750508
0.008328109488545427,0.2656993408162724
0.021064029299093037,0.2663619715460444
0.03395702517705078,0.26674883708543307
0.052162760067489475,0.2673341554007716
0.06431850916486986,0.2673991570779324
0.08066256097201158,0.26830747091182683
0.0984408424652528,0.269548947258099
0.11578740368180426,0.2711037566190058
0.13167078056465517,0.2741474464291519
0.14635424746906858,0.2746587836242842
0.1604374894350193,0.27746325111395564
0.1628613919417396,0.27787999002226266
0.17755708115994237,0.2807018463910716
0.18131051364010217,0.2815077197499289
0.19139966198081126,0.28346355528050904
0.20325362904435576,0.2866244543164807
0.21862296771876283,0.2910013731889348
0.2315460797263717,0.2952836959649079
0.24252064279092111,0.3001015466248019
0.25643156489667424,0.3056730547385224
0.2677326184837192,0.31123993171208986
0.27833521123351374,0.31598131001208407
0.28969342060999037,0.3209157680035364
0.3005014645307313,0.3267474265750033
0.30053285788999673,0.3267608538921187
0.30846982334011974,0.32950368990492607
0.31501246838509783,0.3320887363027036
0.009752668777929964,-0.3438410344527232
1.77291081557765E-6,-0.34404808523726366
0.022725112058446732,-0.3481642510668629
0.03328521632576994,-0.35558847203734745
0.033496848513498385,-0.35575864892537323
0.051194678357783054,-0.37808098351829567
0.06742240114500554,-0.41261939998250446
0.07671102622183923,-0.4389541646397771
0.07868829971902652,-0.44491658413327395
0.09661189562277461,-0.5075180581164576
0.11535292896186615,-0.5871577681360933
0.13043577078281313,-0.6669048955734145
0.14514803892936246,-0.7359551725538047
0.16151973446258922,-0.8088527958693008
0.16074879713039814,-0.8055335329808062
0.178245079378126,-0.873921768637306
0.17912449577327852,-0.876879714937749
0.1915042559093716,-0.9105640929551888
0.20287891516759599,-0.9320400204241708
0.23168141868679148,-0.9290365313710032
0.24093331790331649,-0.9087805296516969
0.21850750874337982,-0.9412535665086368
0.27265631613376023,-0.7875085146268797
0.27878004376042287,-0.7697285542053967
0.2671536431342212,-0.8061436129923034
0.25636664109232316,-0.8523221131953623
0.24404360650609866,-0.9000622743643286
0.28453901679833676,-0.7559146293405801
0.290079447228403,-0.7450613721556484
0.311579505625454,-0.7133551898070959
0.3010854558975142,-0.7271377344172033
0.31508833663838837,-0.7073350274036824
