"sym edge: Wing Normalised Coordiantes in wing coordiantes[X] (m)","sym edge: Pressure Coefficient"
4.024893872024677,0.8929623291293598
4.028672393242864,0.8521857525848999
4.018755864540816,0.15142951646844127
4.019163805913112,0.361910030238859
4.020317378399897,0.6687518676693984
4.021513820986757,0.8156608306443633
4.034651166771908,0.7858681249913344
4.040812049475689,0.7371927518116659
4.022213404995237,0.8578860616561577
4.024568680816574,0.8930263296366528
4.0579112255738465,0.6740783981711089
4.067900036596133,0.6586056245188989
4.04916989719389,0.6969358355839274
4.017760109985692,-1.5876426386455904
4.018082059068861,-0.4567139372141728
4.14021049688704,0.6009545081489215
4.159200168173874,0.5912881260304161
4.169755270793498,0.586105706938503
4.092200900753097,0.6353799926664179
4.106441494451445,0.6240805789072648
4.079351689975962,0.6452608377202712
4.123467884545809,0.6116793655170651
4.018025940291068,-2.3797554615787195
4.017760109985692,-1.5876426386455904
4.0203893402880055,-2.521365687707883
4.018702374577672,-2.671276579530212
4.041482813971948,-1.4695313875847709
4.035080613165108,-1.6395037128660945
4.028707638214072,-1.8005549006840378
4.024838498586133,-1.9725995871939457
4.023701134651525,-2.076007814458805
4.0217038096362945,-2.3117834591634763
4.057838144682576,-1.275758899269558
4.0491354785131115,-1.3548340708871907
4.093409004194915,-1.1141605653774898
4.07938051047387,-1.1650016408732968
4.10819599983556,-1.0855310074366917
4.15931424958258,-0.9672520873674302
4.140538480561585,-1.0089760788847806
4.169755270793498,-0.9335175451411604
4.123897916364051,-1.0503338488809526
4.067920676964317,-1.2338136880494464
4.917691453623984,-0.007959870059858603
4.924076272079932,-0.03526094815716021
4.9633856328430195,-0.1361855279797377
4.973617161282867,-0.16771648378294474
4.982602074225031,-0.19766893279971343
4.991304919583513,-0.21757120355948156
4.997833529841796,-0.2200248104520839
4.99738042971127,-0.2204218920350298
4.937843875890459,-0.06957064766489458
4.951387025599037,-0.10760867082154683
5.002901902370577,-0.2106744752373454
5.008024966390851,-0.19135199480943513
5.0089248946011615,-0.1869169470946241
5.011141343980442,-0.1757249345738654
5.0122391570763885,-0.16986180647900637
5.016362591452293,-0.1537899272346514
5.014439924814832,-0.15978683842822977
5.017316759436586,-0.1454765708566185
5.017691453623979,-0.13594955847473084
5.012777814215483,-0.16632665281846473
5.009834267360841,-0.17243372759608688
4.984053504740407,-0.30529291837453415
4.974881702714598,-0.32328628791374664
4.9985411035978595,-0.2341617731584944
4.991927464928358,-0.2749971030107232
5.017279467230484,-0.13865793833072876
5.0167345854598056,-0.14491129884372522
5.017691453623979,-0.13594955847473084
5.017649934948599,-0.13581989331055416
5.015349881586767,-0.15823634311076407
5.014553113571469,-0.16191262500464468
4.9992591967868165,-0.22933398913568945
5.004388930548783,-0.19705363554456917
5.005290143534238,-0.19259428919625243
5.007987737076667,-0.17998073304604084
4.964467933421775,-0.34523611941629345
4.952139858023374,-0.3825109798275861
4.925203064220559,-0.4129082985996505
4.917691453623982,-0.4029916797220753
4.938940231053089,-0.406692053412794
4.3407014486825775,0.5186810701896577
4.383022254117912,0.502170566056542
4.427407070570377,0.48283420742340033
4.475099553471755,0.46027655796392614
4.525140667627537,0.43302461973067485
4.57923428238002,0.40008302961015973
4.63218851540379,0.3657911768120895
4.684241387351324,0.3276682059563908
4.732844113195501,0.28744088256335293
4.908014020409764,0.03555870236850456
4.917691453623984,-0.007959870059858603
4.883301884097894,0.09453717459433518
4.852704433604645,0.1509542408206826
4.7328441131955,0.28744088256335293
4.777503092704578,0.2455964470860793
4.817571058373565,0.20049218575032782
4.301939803928489,0.5342311828529656
4.3407014486825775,0.5186810701896576
4.169755270793499,0.586105706938503
4.177295793264617,0.581466044147831
4.228110418180265,0.56260193258156
4.264113038336374,0.5491298742217661
4.19604359280247,0.5738922039543664
4.917691453623982,-0.4029916797220753
4.905560474657714,-0.3798291073918262
4.470876083319725,-0.5647918018012209
4.423443039955282,-0.5776890539116722
4.880548280196384,-0.36873116589727883
4.521058638124103,-0.5604596104130767
4.851505604023967,-0.3751423473915163
4.574355101985596,-0.5563495542473024
4.817196140011096,-0.3928264619011506
4.629564238650523,-0.5334171330900523
4.777315472655056,-0.4212421755964539
4.732586714650535,-0.45824977927394045
4.683167988816864,-0.49662699037404956
4.17732990727796,-0.9133123075211156
4.169755270793498,-0.9335175451411604
4.196034056663358,-0.874545186692763
4.228290198367776,-0.8128316561860327
4.262562501461857,-0.7566571807614213
4.298772940984542,-0.7062205157715067
4.336772404523815,-0.6571628608643763
4.379422476062461,-0.6092727761502899
4.423443039955282,-0.5776890539116724
