"x/c = 0.4: Wing Normalised Coordiantes in wing coordiantes[Z] (m)","x/c = 0.4: Pressure Coefficient"
0.20398122396404228,-1.0552304879593692
0.20634895083541738,-1.6783222478605895
0.19834457513352058,-0.4263726798669482
0.18903468088063757,0.12764230521399209
0.1780208808734917,0.35284766225994146
0.1663634787677085,0.4620770377098306
0.1514458014630643,0.5202729372742071
0.1338832049861688,0.544153334786172
0.12113476120475472,0.5524167207330377
0.12859921242141736,-1.933026883677703
0.12113476120475575,-1.841122291930431
0.14268226371765297,-1.8543523206790988
0.1526056455766229,-1.7001111166116378
0.16053657393410337,-1.539506448600043
0.16482844148626932,-1.4396482323981068
0.17378618923437888,-1.2636193753307186
0.184578803211452,-1.1451042462908536
0.1904549933235958,-1.1185703342510314
0.19892389440596478,-1.348388234714353
0.20406177287232785,-1.7562372086381117
0.2063489508354174,-1.6783222478605895
0.1105840346255487,0.5569634605260924
0.12113476120475472,0.5524167207330377
0.08658857580473762,0.5604064409423326
0.06479364332020034,0.5571659560289621
0.011466986029216447,0.5541742965129781
0.042702670581151424,0.5554973872404173
1.5017140926607295E-16,0.5529770956764488
0.04285569467158918,-0.6299607162821259
0.010824096974749502,-0.5378268921427395
0.06508378729879882,-0.8121247267725522
0.08722866057719388,-1.145101993614042
0.11068076437471208,-1.5973908695188224
0.12113476120475573,-1.8411222919304309
0.0108240969747495,-0.5378268921427394
1.0824479209869526E-16,-0.5363801572779588
