Urms,y/c
0,0
1.05159,0.000673413
1.69173,0.00163798
2.03306,0.00391231
2.19954,0.00715626
2.3549,0.00988949
2.49027,0.012217
2.60128,0.0145508
2.66566,0.0158695
2.84983,0.0188008
3.18894,0.0210757
3.63437,0.0235285
4.15736,0.0262696
4.79322,0.0284678
5.15676,0.0313527
5.35635,0.033561
5.51168,0.0361915
5.6493,0.0387239
5.74706,0.0413693
5.83368,0.0435039
5.85824,0.0451411
5.83624,0.0463793
5.76108,0.0475286
5.65714,0.0486854
5.35167,0.0499969
4.39312,0.0531205
3.29947,0.056279
2.23015,0.0592258
1.2871,0.0623454
0.69655,0.068661
0.473607,0.0747788
0.361404,0.0809708
0.313497,0.0877625
0.280982,0.0936258
0.236023,0.124966
0.226509,0.1564
0.222097,0.174993
0.222891,0.200055
