Urms,y/c
0.00476386,0.000327464
0.866999,0.000378695
1.32179,0.000809065
1.75003,0.0015202
1.93313,0.00167835
2.04834,0.00205946
2.09054,0.00307573
2.11945,0.00409544
2.11524,0.00594543
2.09767,0.00718257
2.08462,0.00913756
2.0915,0.0110874
2.11823,0.0124158
2.14937,0.0135377
2.19374,0.0141425
2.23369,0.0148512
2.78521,0.0155305
3.13741,0.0161586
3.5184,0.0167792
4.0035,0.0175784
4.50185,0.018066
4.91826,0.0185747
5.21727,0.0188056
5.49858,0.0192466
5.69351,0.0196071
5.97479,0.0198426
6.2893,0.0200695
6.61045,0.0202947
6.61495,0.0209099
6.44452,0.0216729
5.89752,0.0218142
5.2841,0.0220753
4.81686,0.0225041
4.3297,0.0229381
3.92222,0.0230433
3.17817,0.0236464
2.65999,0.0239856
2.2304,0.0244047
1.8783,0.0245984
1.52397,0.0246899
1.12771,0.0260248
0.924121,0.02731
0.680643,0.0284001
0.55899,0.0296641
0.470556,0.0309195
0.402077,0.0323752
0.375613,0.0333065
0.338101,0.0344461
0.32276,0.0357854
0.305228,0.0373307
0.277216,0.0438091
0.255798,0.0498749
0.245453,0.0559379
0.235157,0.0624117
0.227038,0.0685768
0.225576,0.0748429
0.219672,0.0810074
0.220461,0.0875811
0.21676,0.0936424
0.215297,0.0999085
0.213847,0.106277
0.212348,0.112235
0.210898,0.118604
0.20946,0.125076
0.210977,0.137709
0.212469,0.150138
0.21987,0.174891
0.222842,0.199645
