Urms,y/c
0,0
0.521182,0.000311183
1.12478,0.000458758
2.703,0.00104508
3.45994,0.00285557
3.61911,0.00403713
3.68257,0.00511259
3.7211,0.00681258
3.78954,0.0116538
3.83886,0.0166382
3.88511,0.0207331
3.92093,0.0240094
3.9627,0.0276947
4.01037,0.0314467
4.04037,0.0352043
4.04372,0.0379432
4.05152,0.040886
4.05792,0.0443088
4.05404,0.0478719
4.03693,0.0515763
4.00953,0.055421
3.97621,0.0590621
3.91649,0.0633282
3.83453,0.0665056
3.71732,0.0703108
3.58685,0.0739832
3.5209,0.075991
3.46227,0.0776538
3.31708,0.0813996
3.03384,0.0873133
2.82391,0.0912169
2.61242,0.0945731
2.41867,0.098403
2.1675,0.102183
2.04706,0.104003
1.91633,0.105963
1.77233,0.10779
1.65484,0.109678
1.55944,0.111558
1.48905,0.11343
1.42458,0.115437
1.36743,0.117237
1.31325,0.119172
1.26492,0.120832
1.22107,0.122901
1.06328,0.130966
0.962635,0.137232
0.872327,0.1437
0.777583,0.150032
0.691692,0.156498
0.616054,0.162619
0.55806,0.168597
0.508919,0.174709
0.471595,0.181091
0.437195,0.187336
0.403705,0.199676
