u/U,y/c
0.000471424,0.000323442
-0.263099,0.00100274
-0.293997,0.00108711
-0.309443,0.00139576
-0.257896,0.00625458
-0.227441,0.00860661
-0.198857,0.0112637
-0.167464,0.0137677
-0.130923,0.0161943
-0.0925075,0.0187726
-0.045665,0.0213486
0.00258189,0.0239243
0.0630003,0.0264206
0.111715,0.0289201
0.169324,0.0314171
0.227868,0.0337617
0.283607,0.0364115
0.341685,0.0389846
0.404912,0.0414801
0.46252,0.0438249
0.518257,0.0463225
0.558545,0.0489003
0.603046,0.0514008
0.664399,0.0537446
0.740278,0.0573027
0.806323,0.060635
0.881259,0.0635842
0.924826,0.0663896
0.975411,0.0686601
1.01757,0.0713135
1.03772,0.0725263
1.07145,0.075182
1.15344,0.0814031
1.21015,0.0877071
1.23924,0.09379
1.2482,0.0999545
1.25388,0.106272
1.25441,0.112439
1.254,0.118682
1.25126,0.124926
1.24898,0.131321
1.2467,0.137565
1.24396,0.143732
1.24215,0.149748
1.23847,0.15622
1.22708,0.187362
