u/U,y/c
0.000470657,0.000247309
-0.0252561,0.00246204
-0.0594121,0.00445062
-0.0828042,0.00605566
-0.101513,0.00781172
-0.119754,0.00956765
-0.128626,0.011854
-0.127202,0.013757
-0.12391,0.0152027
-0.104704,0.0164157
-0.0784817,0.0168655
-0.0185491,0.0176109
0.0282726,0.0181313
0.136895,0.0189398
0.178565,0.0192333
0.204317,0.0195309
0.262839,0.0197437
0.334004,0.0201055
0.41734,0.0203878
0.499273,0.0207466
0.587759,0.0211037
0.680926,0.0213073
0.794225,0.0215816
0.913143,0.0220067
1.00584,0.0223627
1.07935,0.0226477
1.136,0.0230132
1.17533,0.0233073
1.20436,0.0234518
1.217,0.0239052
1.24322,0.0244312
1.24091,0.0269442
1.23671,0.0283919
1.23299,0.0305246
1.22738,0.0321249
1.22459,0.0335722
1.22179,0.0350195
1.21947,0.0361621
1.21667,0.0379901
1.20597,0.0439313
1.19994,0.0501759
1.19252,0.0564209
1.1879,0.0625128
1.18328,0.0689854
1.18147,0.0750004
1.17919,0.081244
1.17691,0.0876398
1.17651,0.0937306
1.1747,0.100126
1.17476,0.106369
1.17114,0.118704
1.1712,0.125023
1.16946,0.137357
1.16818,0.149919
1.16643,0.162482
1.16422,0.175045
1.16294,0.187531
