Urms,y/c
0,0.00E+00
1.42364,0.000567744
1.68275,0.000689564
2.19067,0.000868037
2.78249,0.00101941
3.26544,0.00161693
3.40991,0.00300872
3.47657,0.00579558
3.51255,0.0100993
3.53973,0.0146798
3.5668,0.0185069
3.59234,0.0219921
3.61058,0.025822
3.63031,0.0297885
3.64996,0.033207
3.66524,0.0369694
3.67899,0.0403213
3.68231,0.0428547
3.66811,0.0463526
3.65248,0.050125
3.63386,0.0535559
3.6064,0.0569896
3.57166,0.0609737
3.53103,0.0649596
3.48153,0.068606
3.41287,0.07219
3.3251,0.0759172
3.21822,0.0798561
3.16694,0.0815165
2.98665,0.0867121
2.74316,0.0926815
2.37803,0.102252
2.21959,0.105934
2.09798,0.109809
1.96606,0.113687
1.82381,0.117363
1.69191,0.12131
1.57613,0.124773
1.40925,0.131128
1.25266,0.137343
1.08432,0.143768
0.936576,0.150049
0.81238,0.156322
0.726448,0.162515
0.649369,0.168842
0.595801,0.174887
0.548153,0.181135
0.510799,0.187312
0.465542,0.199725
