u/U,y/c
0.00093882,0.000247184
-0.352041,0.00186392
-0.368892,0.00217294
-0.389941,0.00400576
-0.394144,0.00499662
-0.388979,0.00651791
-0.378198,0.00788545
-0.364605,0.00948063
-0.348201,0.0112273
-0.33039,0.0133543
-0.310236,0.015633
-0.291487,0.0178359
-0.260095,0.0202638
-0.224491,0.0226144
-0.108335,0.0277606
-0.0544704,0.0302586
-0.0235586,0.0315447
0.0560553,0.034112
0.118346,0.0365317
0.199831,0.0390224
0.278507,0.0414377
0.32206,0.0427965
0.354375,0.0439299
0.388095,0.045139
0.420412,0.0465008
0.452259,0.0476343
0.490193,0.0489185
0.561848,0.0514118
0.645674,0.0539019
0.722011,0.0564701
0.82832,0.06002
0.915425,0.0625854
1.09433,0.0688568
1.20862,0.0752216
1.30232,0.0813634
1.33702,0.0872926
1.34036,0.093687
1.33715,0.100007
1.33019,0.106252
1.32417,0.112496
1.31674,0.118665
1.31118,0.124757
1.25797,0.187277
