Urms,y/c
0,0.00E+00
4.28558,0.00128751
4.67586,0.00239444
4.77172,0.00359643
4.85894,0.00603417
4.93294,0.00861317
5.02161,0.0109134
5.13839,0.0141636
5.21965,0.0161238
5.32765,0.0197193
5.39886,0.0233951
5.46271,0.0270734
5.5192,0.030754
5.57129,0.0345045
5.58482,0.036418
5.58512,0.0384044
5.54565,0.0402665
5.48701,0.0419294
5.42695,0.0439352
5.36394,0.0458735
5.31562,0.0476015
5.25556,0.0496073
5.18513,0.0512055
5.06647,0.0550797
4.9976,0.0572253
4.93305,0.0587531
4.84798,0.0608355
4.74372,0.0625816
4.63654,0.0645342
4.53376,0.0662798
4.42655,0.0680268
4.2767,0.0700616
4.1018,0.0719675
3.9534,0.0739334
3.78731,0.0756309
3.61834,0.0778089
3.49789,0.0796288
3.26278,0.0825131
2.76614,0.0888382
2.43249,0.0923708
2.10772,0.0961745
1.83152,0.0999626
1.5877,0.103672
1.42781,0.107491
1.28117,0.111305
1.21226,0.113246
0.971939,0.120652
0.879751,0.124381
0.776164,0.130648
0.700546,0.136905
0.630796,0.143024
0.500211,0.155807
0.458441,0.161985
0.424071,0.168435
0.367007,0.180646
0.357643,0.186951
0.338934,0.199697
