Urms,y/c
0,0
0.214446,0.000581462
1.19774,0.000532952
2.26075,0.000463852
2.59964,0.000889915
2.78355,0.00166415
2.85894,0.00246642
2.94327,0.00388268
3.0143,0.00530237
3.07865,0.00631292
3.2716,0.00862557
3.4535,0.0111465
3.73726,0.0135384
3.9967,0.0162448
4.37128,0.0188187
4.75248,0.0211855
5.17354,0.0235419
5.62786,0.0261979
6.04006,0.0285567
6.29061,0.0309572
6.43254,0.032564
6.60104,0.034164
6.6588,0.0356898
6.68559,0.0374291
6.57973,0.0411542
6.48257,0.0435418
6.38543,0.0460321
6.28607,0.0485229
6.16901,0.0511211
6.04309,0.0537215
5.92821,0.0561137
5.79563,0.0586131
5.705,0.0599719
5.5966,0.0609243
5.44395,0.0622991
4.705,0.0684475
3.8155,0.0749429
2.60263,0.081111
1.43852,0.0876774
0.96533,0.0938599
0.742412,0.100183
0.57706,0.106389
0.502492,0.112468
0.425735,0.118754
0.373362,0.125239
0.221411,0.18773
0.225093,0.199952
