"CP(X/C), created by Plot Digitizer, 2.6.8"
"Date: 16/10/16, 22:30:29"


11
X/C,CP
0.0106874,0.547546,
0.0297452,0.387811,
0.0604416,0.294575,
0.122272,0.204203,
0.184112,0.156708,
0.309462,0.100155,
0.434818,0.0657783,
0.559758,0.0314032,
0.685530,0.00441827,
0.811714,-0.0329175,
0.968180,-0.163488,
