"Y/C(u/U), created by Plot Digitizer, 2.6.8"
"Date: 16/10/16, 20:35:06"


39
u/U,Y/C
0.00268666,0.000248199,
0.156720,0.000795173,
0.300782,0.000848045,
0.426477,0.00215778,
0.467877,0.00326005,
0.504706,0.00573706,
0.524681,0.00847203,
0.551571,0.0122017,
0.583858,0.0176755,
0.610743,0.0211556,
0.643032,0.0267541,
0.675324,0.0324774,
0.703777,0.0378283,
0.726848,0.0421838,
0.749135,0.0456662,
0.777561,0.0495199,
0.804446,0.0530000,
0.829806,0.0568552,
0.855168,0.0608352,
0.882063,0.0648144,
0.919733,0.0712837,
0.965105,0.0798701,
1.00436,0.0890835,
1.02977,0.0956836,
1.04906,0.102786,
1.06142,0.107771,
1.07377,0.112630,
1.08537,0.118614,
1.08928,0.122604,
1.09326,0.130588,
1.09798,0.137073,
1.10117,0.143310,
1.10435,0.149672,
1.10754,0.156033,
1.10995,0.162395,
1.11160,0.168384,
1.11248,0.174622,
1.11337,0.180860,
1.11425,0.187347,
