"Time","Efficiency Monitor: Efficiency Monitor"
0.04,1.7442271538563452
0.08,1.7877060576339672
0.12,1.791264592296196
0.16,1.7855319966796919
0.2,1.7824734307529355
0.24000000000000002,1.7833241050574828
0.28,1.779935035650691
0.32,1.7790421394459266
0.36,1.777492055469814
0.39999999999999997,1.779386103222527
0.43999999999999995,1.7799446702745392
0.4799999999999999,1.7819961509072537
0.5199999999999999,1.7853580194136
0.5599999999999999,1.7900237762437727
0.6,1.7943114390988786
0.64,1.7956103245542667
0.68,1.795398666936632
0.7200000000000001,1.796088483979505
0.7600000000000001,1.7978954245689902
0.8000000000000002,1.7980648380888364
0.8400000000000002,1.7951587355498098
0.8800000000000002,1.7919789930740777
0.9200000000000003,1.7893026645979972
0.9600000000000003,1.7882135534592338
1.0000000000000002,1.7895877260682682
1.0400000000000003,1.7916402596001808
1.0800000000000003,1.7918500717407115
1.1200000000000003,1.7906602835000096
1.1600000000000004,1.7895264314691235
1.2000000000000004,1.7909986922361505
1.2400000000000004,1.7943390808735544
1.2800000000000005,1.797362961227112
1.3200000000000005,1.799319923431239
1.3600000000000005,1.8003306522592537
1.4000000000000006,1.8013272131686988
1.4400000000000006,1.8032707224426545
1.4800000000000006,1.8050501544921032
1.5200000000000007,1.80575895573908
1.5600000000000007,1.8057681167589683
1.6000000000000008,1.8053932369323833
1.6400000000000008,1.8048462987575025
1.6800000000000008,1.8038654892186954
1.7200000000000009,1.8025305674253345
1.760000000000001,1.8005637471430278
1.800000000000001,1.7980000359223771
1.840000000000001,1.7952075502553408
1.880000000000001,1.792883460480044
1.920000000000001,1.7913588446278454
1.960000000000001,1.790621869360237
2.000000000000001,1.79077218110353
2.040000000000001,1.7915608405885095
2.080000000000001,1.7927181526942515
2.120000000000001,1.7939860210244811
2.160000000000001,1.7957239359630097
2.200000000000001,1.7981255099195599
2.240000000000001,1.8006183616100397
2.280000000000001,1.8027270869207257
2.320000000000001,1.80419694063357
2.360000000000001,1.8048907885287147
2.4000000000000012,1.8047158601450917
2.4400000000000013,1.8036631000027008
2.4800000000000013,1.8020510333636068
2.5200000000000014,1.8002679125412449
2.5600000000000014,1.7982965044631776
2.6000000000000014,1.7960544778198846
2.6400000000000015,1.7933266955188731
2.6800000000000015,1.7905173679002724
2.7200000000000015,1.7883042485030085
2.7600000000000016,1.787251624474491
2.8000000000000016,1.7873962356392263
2.8400000000000016,1.788858960996556
2.8800000000000017,1.7909646260577878
2.9200000000000017,1.79319871770902
2.9600000000000017,1.7951470795226248
3.0000000000000018,1.7975376010427762
3.040000000000002,1.7999427999364808
3.080000000000002,1.8018027269662382
3.120000000000002,1.802795630125667
3.160000000000002,1.8031851413448983
3.200000000000002,1.8029576385858894
3.240000000000002,1.802140822502
3.280000000000002,1.8009328366976596
3.320000000000002,1.799539825315697
3.360000000000002,1.7979643649418386
3.400000000000002,1.7960970782987136
3.440000000000002,1.7939634420953747
3.480000000000002,1.791774702004451
3.5200000000000022,1.7898703370894435
3.5600000000000023,1.7886188909295055
3.6000000000000023,1.7884578835967735
3.6400000000000023,1.7895412244807685
3.6800000000000024,1.7914234964418598
3.7200000000000024,1.79373547784178
3.7600000000000025,1.796098094329074
3.8000000000000025,1.7990660605680981
3.8400000000000025,1.8017924794865205
3.8800000000000026,1.804080979533711
3.9200000000000026,1.8053837920090476
3.9600000000000026,1.8058328200086229
4.000000000000003,1.8054907898431394
4.040000000000003,1.8045612389970032
4.080000000000003,1.8033245963020408
4.120000000000003,1.8019889277548133
4.160000000000003,1.800381238470219
4.200000000000003,1.798477634157383
4.240000000000003,1.796135043390811
4.280000000000003,1.7936804630692127
4.320000000000003,1.7914687744812077
4.360000000000003,1.7899665466033712
4.400000000000003,1.7893605561369383
4.440000000000003,1.7898085252894311
4.480000000000003,1.790984029596549
4.520000000000003,1.7926497545063873
4.560000000000003,1.794498742035475
