Y/H,X-VELOCITY
0.012,121.21
0.023,161.83
0.035,199.17
0.046,234.86
0.058,268.91
0.069,278.53
0.086,284.76
0.115,284.63
0.144,285.1
0.173,284.43
0.231,282.9
0.288,282.23
0.346,280.89
0.432,278.71
0.494,280.75
0.552,280.11
0.609,280.35
0.667,280.95
0.724,281.28
0.782,282.35
0.84,283.72
0.897,285.31
0.926,285.18
0.955,279.59
0.984,277.53
1.013,264.8
1.036,192.78
1.047,147.22
1.059,98.56
