Y/H,X-VELOCITY
0.012,75.27
0.023,85.12
0.035,92.36
0.046,100.57
0.058,108.91
0.069,117.47
0.086,130.05
0.115,150.72
0.144,170.62
0.173,187.05
0.231,203.82
0.288,206.77
0.346,205.87
0.432,205.83
0.492,206.06
0.607,204.23
0.723,203.49
0.838,202.57
0.953,202.27
1.069,202.23
1.126,201.54
1.184,195.64
1.241,168.96
1.27,147.29
1.299,125.56
1.328,105.11
1.357,86.52
1.386,71.13
1.403,57.74
