Y/H,X-VELOCITY
0.012,90.79
0.023,110.98
0.035,129.64
0.046,147.8
0.058,167.5
0.069,183.7
0.086,208.95
0.115,238.43
0.144,241.91
0.173,242.05
0.231,242.41
0.288,241.08
0.346,240.93
0.432,241
0.556,239.92
0.614,241.14
0.671,240.92
0.729,239.68
0.787,240.24
0.844,240.59
0.902,239.36
0.96,240.44
1.017,239.89
1.046,238.96
1.075,233.96
1.104,215.58
1.133,175.97
1.161,128.7
1.179,102.92
